"CURSO";"N° QUESTÃO";"N° ACERTOS";"N° ERROS";"NOME PROVA";"OPÇÃO LÍNGUA"
"AEM1AM-AIA - Leitura e Produção de Textos";"2";"25";"7";"Prova Objetiva";" - "
"AEM1AM-AIA - Leitura e Produção de Textos";"3";"30";"2";"Prova Objetiva";" - "
"AEM1AM-AIA - Leitura e Produção de Textos";"4";"30";"2";"Prova Objetiva";" - "
"AEM1AM-AIA - Leitura e Produção de Textos";"5";"28";"4";"Prova Objetiva";" - "
"AEM1AM-AIA - Leitura e Produção de Textos";"6";"30";"2";"Prova Objetiva";" - "
"AEM1AM-AIA - Leitura e Produção de Textos";"7";"15";"17";"Prova Objetiva";" - "
"AEM1AM-AIA - Leitura e Produção de Textos";"8";"31";"1";"Prova Objetiva";" - "
"AEM1AM-AIA - Matemática";"2";"35";"0";"Prova Objetiva";" - "
"AEM1AM-AIA - Matemática";"3";"6";"29";"Prova Objetiva";" - "
"AEM1AM-AIA - Matemática";"4";"19";"16";"Prova Objetiva";" - "
"AEM1AM-AIA - Matemática";"5";"16";"19";"Prova Objetiva";" - "
"AEM1AM-AIA - Matemática";"6";"20";"15";"Prova Objetiva";" - "
"AEM1AM-AIA - Matemática";"7";"30";"5";"Prova Objetiva";" - "
"AEM1AM-AIA - Matemática";"8";"9";"26";"Prova Objetiva";" - "
"AEM1AM-AIA - Microeconomia";"2";"11";"19";"Prova Objetiva";" - "
"AEM1AM-AIA - Microeconomia";"3";"5";"25";"Prova Objetiva";" - "
"AEM1AM-AIA - Microeconomia";"4";"9";"21";"Prova Objetiva";" - "
"AEM1AM-AIA - Microeconomia";"5";"10";"20";"Prova Objetiva";" - "
"AEM1AM-AIA - Microeconomia";"6";"15";"15";"Prova Objetiva";" - "
"AEM1AM-AIA - Microeconomia";"7";"25";"5";"Prova Objetiva";" - "
"AEM1AM-AIA - Microeconomia";"8";"20";"10";"Prova Objetiva";" - "
"AEM1AM-AIA - Teorias da Administração";"2";"25";"5";"Prova Objetiva";" - "
"AEM1AM-AIA - Teorias da Administração";"3";"26";"4";"Prova Objetiva";" - "
"AEM1AM-AIA - Teorias da Administração";"4";"19";"11";"Prova Objetiva";" - "
"AEM1AM-AIA - Teorias da Administração";"5";"28";"2";"Prova Objetiva";" - "
"AEM1AM-AIA - Teorias da Administração";"6";"6";"24";"Prova Objetiva";" - "
"AEM1AM-AIA - Teorias da Administração";"7";"17";"13";"Prova Objetiva";" - "
"AEM1AM-AIA - Teorias da Administração";"8";"25";"5";"Prova Objetiva";" - "
"AEM1BM-AIA - Estatística Aplicada";"2";"4";"9";"Prova Objetiva";" - "
"AEM1BM-AIA - Estatística Aplicada";"3";"8";"5";"Prova Objetiva";" - "
"AEM1BM-AIA - Estatística Aplicada";"4";"11";"2";"Prova Objetiva";" - "
"AEM1BM-AIA - Estatística Aplicada";"5";"9";"4";"Prova Objetiva";" - "
"AEM1BM-AIA - Estatística Aplicada";"6";"8";"5";"Prova Objetiva";" - "
"AEM1BM-AIA - Estatística Aplicada";"7";"11";"2";"Prova Objetiva";" - "
"AEM1BM-AIA - Estatística Aplicada";"8";"11";"2";"Prova Objetiva";" - "
"AEM1BM-AIA - Macroeconomia";"2";"14";"2";"Prova Objetiva";" - "
"AEM1BM-AIA - Macroeconomia";"3";"10";"6";"Prova Objetiva";" - "
"AEM1BM-AIA - Macroeconomia";"4";"7";"9";"Prova Objetiva";" - "
"AEM1BM-AIA - Macroeconomia";"5";"10";"6";"Prova Objetiva";" - "
"AEM1BM-AIA - Macroeconomia";"6";"0";"16";"Prova Objetiva";" - "
"AEM1BM-AIA - Macroeconomia";"7";"14";"2";"Prova Objetiva";" - "
"AEM1BM-AIA - Macroeconomia";"8";"13";"3";"Prova Objetiva";" - "
"AEM1AN-AIA - Microeconomia";"2";"0";"0";"Prova Objetiva";" - "
"AEM1AN-AIA - Microeconomia";"3";"0";"0";"Prova Objetiva";" - "
"AEM1AN-AIA - Microeconomia";"4";"0";"0";"Prova Objetiva";" - "
"AEM1AN-AIA - Microeconomia";"5";"0";"0";"Prova Objetiva";" - "
"AEM1AN-AIA - Microeconomia";"6";"0";"0";"Prova Objetiva";" - "
"AEM1AN-AIA - Microeconomia";"7";"0";"0";"Prova Objetiva";" - "
"AEM1AN-AIA - Microeconomia";"8";"0";"0";"Prova Objetiva";" - "
