"CURSO";"N° QUESTÃO";"N° ACERTOS";"N° ERROS";"NOME PROVA";"OPÇÃO LÍNGUA"
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"1";"14";"8";"Prova Objetiva";" - "
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"2";"22";"0";"Prova Objetiva";" - "
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"3";"11";"11";"Prova Objetiva";" - "
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"4";"19";"3";"Prova Objetiva";" - "
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"5";"18";"4";"Prova Objetiva";" - "
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"6";"9";"13";"Prova Objetiva";" - "
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"7";"18";"4";"Prova Objetiva";" - "
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"8";"12";"10";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"1";"8";"9";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"2";"0";"17";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"3";"11";"6";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"4";"9";"8";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"5";"17";"0";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"6";"15";"2";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"7";"16";"1";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"8";"12";"5";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"1";"10";"1";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"2";"9";"2";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"3";"11";"0";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"4";"10";"1";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"5";"10";"1";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"6";"11";"0";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"7";"11";"0";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"8";"5";"6";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"1";"17";"9";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"2";"15";"11";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"3";"24";"2";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"4";"24";"2";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"5";"24";"2";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"6";"20";"6";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"7";"24";"2";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"8";"2";"24";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"1";"6";"13";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"2";"18";"1";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"3";"8";"11";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"4";"1";"18";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"5";"5";"14";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"6";"14";"5";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"7";"17";"2";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"8";"13";"6";"Prova Objetiva";" - "
"ECP1AN-RJA - Introdução à Engenharia de Computação";"1";"14";"5";"Prova Objetiva";" - "
"ECP1AN-RJA - Introdução à Engenharia de Computação";"2";"10";"9";"Prova Objetiva";" - "
"ECP1AN-RJA - Introdução à Engenharia de Computação";"3";"15";"4";"Prova Objetiva";" - "
"ECP1AN-RJA - Introdução à Engenharia de Computação";"4";"14";"5";"Prova Objetiva";" - "
"ECP1AN-RJA - Introdução à Engenharia de Computação";"5";"6";"13";"Prova Objetiva";" - "
"ECP1AN-RJA - Introdução à Engenharia de Computação";"6";"18";"1";"Prova Objetiva";" - "
"ECP1AN-RJA - Introdução à Engenharia de Computação";"7";"12";"7";"Prova Objetiva";" - "
"ECP1AN-RJA - Introdução à Engenharia de Computação";"8";"11";"8";"Prova Objetiva";" - "
"EGM1AN-BRA - Introdução à Engenharia Mecânica";"1";"10";"9";"Prova Objetiva";" - "
"EGM1AN-BRA - Introdução à Engenharia Mecânica";"2";"16";"3";"Prova Objetiva";" - "
"EGM1AN-BRA - Introdução à Engenharia Mecânica";"3";"17";"2";"Prova Objetiva";" - "
"EGM1AN-BRA - Introdução à Engenharia Mecânica";"4";"14";"5";"Prova Objetiva";" - "
"EGM1AN-BRA - Introdução à Engenharia Mecânica";"5";"12";"7";"Prova Objetiva";" - "
"EGM1AN-BRA - Introdução à Engenharia Mecânica";"6";"14";"5";"Prova Objetiva";" - "
