"CURSO";"N° QUESTÃO";"N° ACERTOS";"N° ERROS";"NOME PROVA";"OPÇÃO LÍNGUA"
"EAM1AM-RJB -  Algorítimos e Lógica de Programação";"1";"5";"7";"Prova Objetiva";" - "
"EAM1AM-RJB -  Algorítimos e Lógica de Programação";"2";"4";"8";"Prova Objetiva";" - "
"EAM1AM-RJB -  Algorítimos e Lógica de Programação";"3";"10";"2";"Prova Objetiva";" - "
"EAM1AM-RJB -  Algorítimos e Lógica de Programação";"4";"9";"3";"Prova Objetiva";" - "
"EAM1AM-RJB -  Algorítimos e Lógica de Programação";"5";"3";"9";"Prova Objetiva";" - "
"EAM1AM-RJB -  Algorítimos e Lógica de Programação";"6";"5";"7";"Prova Objetiva";" - "
"EAM1AM-RJB -  Algorítimos e Lógica de Programação";"7";"9";"3";"Prova Objetiva";" - "
"EAM1AM-RJB -  Algorítimos e Lógica de Programação";"8";"3";"9";"Prova Objetiva";" - "
"ECA1AM-RJB -  Algorítimos e Lógica de Programação";"1";"7";"4";"Prova Objetiva";" - "
"ECA1AM-RJB -  Algorítimos e Lógica de Programação";"2";"9";"2";"Prova Objetiva";" - "
"ECA1AM-RJB -  Algorítimos e Lógica de Programação";"3";"9";"2";"Prova Objetiva";" - "
"ECA1AM-RJB -  Algorítimos e Lógica de Programação";"4";"4";"7";"Prova Objetiva";" - "
"ECA1AM-RJB -  Algorítimos e Lógica de Programação";"5";"5";"6";"Prova Objetiva";" - "
"ECA1AM-RJB -  Algorítimos e Lógica de Programação";"6";"7";"4";"Prova Objetiva";" - "
"ECA1AM-RJB -  Algorítimos e Lógica de Programação";"7";"10";"1";"Prova Objetiva";" - "
"ECA1AM-RJB -  Algorítimos e Lógica de Programação";"8";"2";"9";"Prova Objetiva";" - "
"EGM1AM-RJA -  Algorítimos e Lógica de Programação";"1";"4";"6";"Prova Objetiva";" - "
"EGM1AM-RJA -  Algorítimos e Lógica de Programação";"2";"8";"2";"Prova Objetiva";" - "
"EGM1AM-RJA -  Algorítimos e Lógica de Programação";"3";"8";"2";"Prova Objetiva";" - "
"EGM1AM-RJA -  Algorítimos e Lógica de Programação";"4";"2";"8";"Prova Objetiva";" - "
"EGM1AM-RJA -  Algorítimos e Lógica de Programação";"5";"3";"7";"Prova Objetiva";" - "
"EGM1AM-RJA -  Algorítimos e Lógica de Programação";"6";"4";"6";"Prova Objetiva";" - "
"EGM1AM-RJA -  Algorítimos e Lógica de Programação";"7";"9";"1";"Prova Objetiva";" - "
"EGM1AM-RJA -  Algorítimos e Lógica de Programação";"8";"3";"7";"Prova Objetiva";" - "
"ENC1AM-RJA -  Algorítimos e Lógica de Programação";"1";"1";"8";"Prova Objetiva";" - "
"ENC1AM-RJA -  Algorítimos e Lógica de Programação";"2";"2";"7";"Prova Objetiva";" - "
"ENC1AM-RJA -  Algorítimos e Lógica de Programação";"3";"6";"3";"Prova Objetiva";" - "
"ENC1AM-RJA -  Algorítimos e Lógica de Programação";"4";"5";"4";"Prova Objetiva";" - "
"ENC1AM-RJA -  Algorítimos e Lógica de Programação";"5";"1";"8";"Prova Objetiva";" - "
"ENC1AM-RJA -  Algorítimos e Lógica de Programação";"6";"3";"6";"Prova Objetiva";" - "
"ENC1AM-RJA -  Algorítimos e Lógica de Programação";"7";"6";"3";"Prova Objetiva";" - "
"ENC1AM-RJA -  Algorítimos e Lógica de Programação";"8";"1";"8";"Prova Objetiva";" - "
"EGM1BM- RJA - Cálculo";"1";"2";"2";"Prova Objetiva";" - "
"EGM1BM- RJA - Cálculo";"2";"3";"1";"Prova Objetiva";" - "
"EGM1BM- RJA - Cálculo";"3";"3";"1";"Prova Objetiva";" - "
"EGM1BM- RJA - Cálculo";"4";"3";"1";"Prova Objetiva";" - "
"EGM1BM- RJA - Cálculo";"5";"3";"1";"Prova Objetiva";" - "
"EGM1BM- RJA - Cálculo";"6";"2";"2";"Prova Objetiva";" - "
"EGM1BM- RJA - Cálculo";"7";"4";"0";"Prova Objetiva";" - "
"EGM1BM- RJA - Cálculo";"8";"2";"2";"Prova Objetiva";" - "
"ENC1BM-RJA - Cálculo";"1";"10";"1";"Prova Objetiva";" - "
"ENC1BM-RJA - Cálculo";"2";"7";"4";"Prova Objetiva";" - "
"ENC1BM-RJA - Cálculo";"3";"3";"8";"Prova Objetiva";" - "
"ENC1BM-RJA - Cálculo";"4";"4";"7";"Prova Objetiva";" - "
"ENC1BM-RJA - Cálculo";"5";"8";"3";"Prova Objetiva";" - "
"ENC1BM-RJA - Cálculo";"6";"3";"8";"Prova Objetiva";" - "
"ENC1BM-RJA - Cálculo";"7";"10";"1";"Prova Objetiva";" - "
"ENC1BM-RJA - Cálculo";"8";"7";"4";"Prova Objetiva";" - "
"EAM1AM-RJB - Cálculo Diferencial";"1";"3";"8";"Prova Objetiva";" - "
"EAM1AM-RJB - Cálculo Diferencial";"2";"4";"7";"Prova Objetiva";" - "
"EAM1AM-RJB - Cálculo Diferencial";"3";"5";"6";"Prova Objetiva";" - "
"EAM1AM-RJB - Cálculo Diferencial";"4";"1";"10";"Prova Objetiva";" - "
"EAM1AM-RJB - Cálculo Diferencial";"5";"4";"7";"Prova Objetiva";" - "
"EAM1AM-RJB - Cálculo Diferencial";"6";"8";"3";"Prova Objetiva";" - "
"EAM1AM-RJB - Cálculo Diferencial";"7";"3";"8";"Prova Objetiva";" - "
"EAM1AM-RJB - Cálculo Diferencial";"8";"5";"6";"Prova Objetiva";" - "
"ECA1AM-RJB - Cálculo Diferencial";"1";"2";"7";"Prova Objetiva";" - "
"ECA1AM-RJB - Cálculo Diferencial";"2";"3";"6";"Prova Objetiva";" - "
"ECA1AM-RJB - Cálculo Diferencial";"3";"1";"8";"Prova Objetiva";" - "
"ECA1AM-RJB - Cálculo Diferencial";"4";"3";"6";"Prova Objetiva";" - "
"ECA1AM-RJB - Cálculo Diferencial";"5";"5";"4";"Prova Objetiva";" - "
"ECA1AM-RJB - Cálculo Diferencial";"6";"5";"4";"Prova Objetiva";" - "
"ECA1AM-RJB - Cálculo Diferencial";"7";"1";"8";"Prova Objetiva";" - "
"ECA1AM-RJB - Cálculo Diferencial";"8";"4";"5";"Prova Objetiva";" - "
"EGM1AM-RJA - Cálculo Diferencial";"1";"4";"7";"Prova Objetiva";" - "
"EGM1AM-RJA - Cálculo Diferencial";"2";"5";"6";"Prova Objetiva";" - "
"EGM1AM-RJA - Cálculo Diferencial";"3";"0";"11";"Prova Objetiva";" - "
"EGM1AM-RJA - Cálculo Diferencial";"4";"2";"9";"Prova Objetiva";" - "
"EGM1AM-RJA - Cálculo Diferencial";"5";"3";"8";"Prova Objetiva";" - "
"EGM1AM-RJA - Cálculo Diferencial";"6";"5";"6";"Prova Objetiva";" - "
"EGM1AM-RJA - Cálculo Diferencial";"7";"2";"9";"Prova Objetiva";" - "
"EGM1AM-RJA - Cálculo Diferencial";"8";"4";"7";"Prova Objetiva";" - "
"ENC1AM-RJA - Cálculo Diferencial";"1";"5";"5";"Prova Objetiva";" - "
"ENC1AM-RJA - Cálculo Diferencial";"2";"4";"6";"Prova Objetiva";" - "
"ENC1AM-RJA - Cálculo Diferencial";"3";"2";"8";"Prova Objetiva";" - "
"ENC1AM-RJA - Cálculo Diferencial";"4";"5";"5";"Prova Objetiva";" - "
"ENC1AM-RJA - Cálculo Diferencial";"5";"6";"4";"Prova Objetiva";" - "
"ENC1AM-RJA - Cálculo Diferencial";"6";"7";"3";"Prova Objetiva";" - "
"ENC1AM-RJA - Cálculo Diferencial";"7";"4";"6";"Prova Objetiva";" - "
"ENC1AM-RJA - Cálculo Diferencial";"8";"4";"6";"Prova Objetiva";" - "
"ENC1AM-RJB - Cálculo Diferencial";"1";"7";"5";"Prova Objetiva";" - "
"ENC1AM-RJB - Cálculo Diferencial";"2";"4";"8";"Prova Objetiva";" - "
"ENC1AM-RJB - Cálculo Diferencial";"3";"1";"11";"Prova Objetiva";" - "
"ENC1AM-RJB - Cálculo Diferencial";"4";"5";"7";"Prova Objetiva";" - "
"ENC1AM-RJB - Cálculo Diferencial";"5";"1";"11";"Prova Objetiva";" - "
"ENC1AM-RJB - Cálculo Diferencial";"6";"4";"8";"Prova Objetiva";" - "
"ENC1AM-RJB - Cálculo Diferencial";"7";"2";"10";"Prova Objetiva";" - "
"ENC1AM-RJB - Cálculo Diferencial";"8";"6";"6";"Prova Objetiva";" - "
"EAM1BN-RJA - Cálculo ";"1";"0";"9";"Prova Objetiva";" - "
"EAM1BN-RJA - Cálculo ";"2";"6";"3";"Prova Objetiva";" - "
"EAM1BN-RJA - Cálculo ";"3";"5";"4";"Prova Objetiva";" - "
"EAM1BN-RJA - Cálculo ";"4";"2";"7";"Prova Objetiva";" - "
"EAM1BN-RJA - Cálculo ";"5";"3";"6";"Prova Objetiva";" - "
"EAM1BN-RJA - Cálculo ";"6";"1";"8";"Prova Objetiva";" - "
"EAM1BN-RJA - Cálculo ";"7";"4";"5";"Prova Objetiva";" - "
"EAM1BN-RJA - Cálculo ";"8";"0";"9";"Prova Objetiva";" - "
"ECA1BN-RJA -  Cálculo ";"1";"0";"11";"Prova Objetiva";" - "
"ECA1BN-RJA -  Cálculo ";"2";"6";"5";"Prova Objetiva";" - "
"ECA1BN-RJA -  Cálculo ";"3";"4";"7";"Prova Objetiva";" - "
"ECA1BN-RJA -  Cálculo ";"4";"5";"6";"Prova Objetiva";" - "
"ECA1BN-RJA -  Cálculo ";"5";"5";"6";"Prova Objetiva";" - "
"ECA1BN-RJA -  Cálculo ";"6";"3";"8";"Prova Objetiva";" - "
"ECA1BN-RJA -  Cálculo ";"7";"8";"3";"Prova Objetiva";" - "
"ECA1BN-RJA -  Cálculo ";"8";"0";"11";"Prova Objetiva";" - "
"ECP1BN-RJA - Cálculo";"1";"0";"6";"Prova Objetiva";" - "
"ECP1BN-RJA - Cálculo";"2";"6";"0";"Prova Objetiva";" - "
"ECP1BN-RJA - Cálculo";"3";"5";"1";"Prova Objetiva";" - "
"ECP1BN-RJA - Cálculo";"4";"6";"0";"Prova Objetiva";" - "
"ECP1BN-RJA - Cálculo";"5";"5";"1";"Prova Objetiva";" - "
"ECP1BN-RJA - Cálculo";"6";"1";"5";"Prova Objetiva";" - "
"ECP1BN-RJA - Cálculo";"7";"6";"0";"Prova Objetiva";" - "
"ECP1BN-RJA - Cálculo";"8";"0";"6";"Prova Objetiva";" - "
"ENC1BN-RJA - Cálculo";"1";"0";"9";"Prova Objetiva";" - "
"ENC1BN-RJA - Cálculo";"2";"8";"1";"Prova Objetiva";" - "
"ENC1BN-RJA - Cálculo";"3";"3";"6";"Prova Objetiva";" - "
"ENC1BN-RJA - Cálculo";"4";"9";"0";"Prova Objetiva";" - "
"ENC1BN-RJA - Cálculo";"5";"8";"1";"Prova Objetiva";" - "
"ENC1BN-RJA - Cálculo";"6";"6";"3";"Prova Objetiva";" - "
"ENC1BN-RJA - Cálculo";"7";"8";"1";"Prova Objetiva";" - "
"ENC1BN-RJA - Cálculo";"8";"0";"9";"Prova Objetiva";" - "
"ENE1BN-RJA - Cálculo ";"1";"0";"13";"Prova Objetiva";" - "
"ENE1BN-RJA - Cálculo ";"2";"12";"1";"Prova Objetiva";" - "
"ENE1BN-RJA - Cálculo ";"3";"4";"9";"Prova Objetiva";" - "
"ENE1BN-RJA - Cálculo ";"4";"4";"9";"Prova Objetiva";" - "
"ENE1BN-RJA - Cálculo ";"5";"7";"6";"Prova Objetiva";" - "
"ENE1BN-RJA - Cálculo ";"6";"3";"10";"Prova Objetiva";" - "
"ENE1BN-RJA - Cálculo ";"7";"11";"2";"Prova Objetiva";" - "
"ENE1BN-RJA - Cálculo ";"8";"0";"13";"Prova Objetiva";" - "
"ENQ1BN-RJA - Cálculo";"1";"0";"10";"Prova Objetiva";" - "
"ENQ1BN-RJA - Cálculo";"2";"7";"3";"Prova Objetiva";" - "
"ENQ1BN-RJA - Cálculo";"3";"2";"8";"Prova Objetiva";" - "
"ENQ1BN-RJA - Cálculo";"4";"5";"5";"Prova Objetiva";" - "
"ENQ1BN-RJA - Cálculo";"5";"7";"3";"Prova Objetiva";" - "
"ENQ1BN-RJA - Cálculo";"6";"7";"3";"Prova Objetiva";" - "
"ENQ1BN-RJA - Cálculo";"7";"7";"3";"Prova Objetiva";" - "
"ENQ1BN-RJA - Cálculo";"8";"0";"10";"Prova Objetiva";" - "
"EPR1BN-RJA - Cálculo";"1";"0";"7";"Prova Objetiva";" - "
"EPR1BN-RJA - Cálculo";"2";"5";"2";"Prova Objetiva";" - "
"EPR1BN-RJA - Cálculo";"3";"1";"6";"Prova Objetiva";" - "
"EPR1BN-RJA - Cálculo";"4";"3";"4";"Prova Objetiva";" - "
"EPR1BN-RJA - Cálculo";"5";"2";"5";"Prova Objetiva";" - "
"EPR1BN-RJA - Cálculo";"6";"4";"3";"Prova Objetiva";" - "
"EPR1BN-RJA - Cálculo";"7";"3";"4";"Prova Objetiva";" - "
"EPR1BN-RJA - Cálculo";"8";"0";"7";"Prova Objetiva";" - "
"EGM1BN-BRA - Cálculo";"1";"0";"11";"Prova Objetiva";" - "
"EGM1BN-BRA - Cálculo";"2";"8";"3";"Prova Objetiva";" - "
"EGM1BN-BRA - Cálculo";"3";"5";"6";"Prova Objetiva";" - "
"EGM1BN-BRA - Cálculo";"4";"4";"7";"Prova Objetiva";" - "
"EGM1BN-BRA - Cálculo";"5";"9";"2";"Prova Objetiva";" - "
"EGM1BN-BRA - Cálculo";"6";"0";"11";"Prova Objetiva";" - "
"EGM1BN-BRA - Cálculo";"7";"8";"3";"Prova Objetiva";" - "
"EGM1BN-BRA - Cálculo";"8";"0";"11";"Prova Objetiva";" - "
"ENC1BN-BRA - Cálculo";"1";"0";"5";"Prova Objetiva";" - "
"ENC1BN-BRA - Cálculo";"2";"3";"2";"Prova Objetiva";" - "
"ENC1BN-BRA - Cálculo";"3";"2";"3";"Prova Objetiva";" - "
"ENC1BN-BRA - Cálculo";"4";"4";"1";"Prova Objetiva";" - "
"ENC1BN-BRA - Cálculo";"5";"1";"4";"Prova Objetiva";" - "
"ENC1BN-BRA - Cálculo";"6";"4";"1";"Prova Objetiva";" - "
"ENC1BN-BRA - Cálculo";"7";"4";"1";"Prova Objetiva";" - "
"ENC1BN-BRA - Cálculo";"8";"0";"5";"Prova Objetiva";" - "
"EAM1AN-RJA -  Cálculo Diferencial";"1";"3";"4";"Prova Objetiva";" - "
"EAM1AN-RJA -  Cálculo Diferencial";"2";"3";"4";"Prova Objetiva";" - "
"EAM1AN-RJA -  Cálculo Diferencial";"3";"1";"6";"Prova Objetiva";" - "
"EAM1AN-RJA -  Cálculo Diferencial";"4";"2";"5";"Prova Objetiva";" - "
"EAM1AN-RJA -  Cálculo Diferencial";"5";"3";"4";"Prova Objetiva";" - "
"EAM1AN-RJA -  Cálculo Diferencial";"6";"0";"7";"Prova Objetiva";" - "
"EAM1AN-RJA -  Cálculo Diferencial";"7";"5";"2";"Prova Objetiva";" - "
"EAM1AN-RJA -  Cálculo Diferencial";"8";"5";"2";"Prova Objetiva";" - "
"ECA1AN-RJA - Cálculo Diferencial";"1";"2";"6";"Prova Objetiva";" - "
"ECA1AN-RJA - Cálculo Diferencial";"2";"4";"4";"Prova Objetiva";" - "
"ECA1AN-RJA - Cálculo Diferencial";"3";"4";"4";"Prova Objetiva";" - "
"ECA1AN-RJA - Cálculo Diferencial";"4";"4";"4";"Prova Objetiva";" - "
"ECA1AN-RJA - Cálculo Diferencial";"5";"6";"2";"Prova Objetiva";" - "
"ECA1AN-RJA - Cálculo Diferencial";"6";"0";"8";"Prova Objetiva";" - "
"ECA1AN-RJA - Cálculo Diferencial";"7";"2";"6";"Prova Objetiva";" - "
"ECA1AN-RJA - Cálculo Diferencial";"8";"3";"5";"Prova Objetiva";" - "
"ECP1AN-RJA - Cálculo Diferencial";"1";"0";"10";"Prova Objetiva";" - "
"ECP1AN-RJA - Cálculo Diferencial";"2";"5";"5";"Prova Objetiva";" - "
"ECP1AN-RJA - Cálculo Diferencial";"3";"1";"9";"Prova Objetiva";" - "
"ECP1AN-RJA - Cálculo Diferencial";"4";"3";"7";"Prova Objetiva";" - "
"ECP1AN-RJA - Cálculo Diferencial";"5";"6";"4";"Prova Objetiva";" - "
"ECP1AN-RJA - Cálculo Diferencial";"6";"1";"9";"Prova Objetiva";" - "
"ECP1AN-RJA - Cálculo Diferencial";"7";"2";"8";"Prova Objetiva";" - "
"ECP1AN-RJA - Cálculo Diferencial";"8";"2";"8";"Prova Objetiva";" - "
"EGM1AN-RJC - Cálculo Diferencial";"1";"4";"6";"Prova Objetiva";" - "
"EGM1AN-RJC - Cálculo Diferencial";"2";"4";"6";"Prova Objetiva";" - "
"EGM1AN-RJC - Cálculo Diferencial";"3";"1";"9";"Prova Objetiva";" - "
"EGM1AN-RJC - Cálculo Diferencial";"4";"2";"8";"Prova Objetiva";" - "
"EGM1AN-RJC - Cálculo Diferencial";"5";"4";"6";"Prova Objetiva";" - "
"EGM1AN-RJC - Cálculo Diferencial";"6";"2";"8";"Prova Objetiva";" - "
"EGM1AN-RJC - Cálculo Diferencial";"7";"5";"5";"Prova Objetiva";" - "
"EGM1AN-RJC - Cálculo Diferencial";"8";"5";"5";"Prova Objetiva";" - "
"EGM1AN-RJD - Cálculo Diferencial";"1";"3";"7";"Prova Objetiva";" - "
"EGM1AN-RJD - Cálculo Diferencial";"2";"3";"7";"Prova Objetiva";" - "
