Nº de Títulos;Valor Total;Nº Baixados;Valor Total;Nº Confirmados;
4860;R$ 4.186.933,60;0;R$ 0,00;0;
Erro nº;Mensagem de erro;MSG_TECNICA;
1;Título está baixado. Matrícula [201201157] Número [144639            ] * Linha: 2152; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110377] Linha: 2152;
2;Título está baixado. Matrícula [201205036] Número [151315            ] * Linha: 2153; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110401] Linha: 2153;
3;Título está baixado. Matrícula [201201245] Número [142775            ] * Linha: 2154; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110418] Linha: 2154;
4;Título está baixado. Matrícula [201200579] Número [144848            ] * Linha: 2155; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110467] Linha: 2155;
5;Título está baixado. Matrícula [201201787] Número [143044            ] * Linha: 2156; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110469] Linha: 2156;
6;Título está baixado. Matrícula [201203332] Número [141629            ] * Linha: 2157; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110471] Linha: 2157;
7;Título está baixado. Matrícula [201108169] Número [144716            ] * Linha: 2158; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110485] Linha: 2158;
8;Título está baixado. Matrícula [201203448] Número [144036            ] * Linha: 2159; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110487] Linha: 2159;
9;Título está baixado. Matrícula [201209052] Número [151675            ] * Linha: 2160; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110522] Linha: 2160;
10;Título está baixado. Matrícula [201110228] Número [144929            ] * Linha: 2161; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110533] Linha: 2161;
11;Título está baixado. Matrícula [201105800] Número [151378            ] * Linha: 2162; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110537] Linha: 2162;
12;Título está baixado. Matrícula [201307322] Número [144066            ] * Linha: 2163; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110566] Linha: 2163;
13;Título está baixado. Matrícula [201310539] Número [153462            ] * Linha: 2164; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110576] Linha: 2164;
14;Título está baixado. Matrícula [201210443] Número [153289            ] * Linha: 2165; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110599] Linha: 2165;
15;Título está baixado. Matrícula [201210136] Número [153052            ] * Linha: 2166; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22110632] Linha: 2166;
